id,value,label
1,0.6394,bolMJUev
2,0.0298,lAbkHClE
3,0.8094,aPKriXre
4,0.0967,SFPLBYtC
5,0.8294,GSEKclpe
6,0.2328,foHstknW
7,0.648,FiLitZHC
8,0.6846,ROlbqnkX
9,0.8764,qIuVxnmD
10,0.2627,EUulZAec
11,0.1096,GPvdtZBY
12,0.8608,aLJBnHfw
13,0.4537,XTnAjVTp
14,0.6389,FhNCOBaq
15,0.0195,WTRpdTXe
16,0.486,dNNgyCnT
17,0.4231,lCLkqZHw
18,0.5176,glrElldG
19,0.2289,VSdmIlgW
20,0.571,yOPjfwwy
21,0.7291,JZfurSmj
22,0.4486,vomWxSCc
23,0.9993,RYWSizlu
24,0.0586,tZnOxvXZ
25,0.5558,LipYECMc
26,0.5842,ASiXejEJ
27,0.2352,gUmEGvEB
28,0.9347,kLmuIpqN
29,0.0725,xZZdlnWT
30,0.8793,tiRKFZIa
31,0.8171,pIWggfCo
32,0.6048,LkGnzVRe
33,0.4236,oaOHnMCw
34,0.0097,dTVCREhg
35,0.3083,UPSUkmfO
36,0.8841,vGiWSYQT
37,0.0248,MrWPSQnO
38,0.1081,TSlQxpPl
39,0.0237,krSYoHuZ
40,0.5362,WfYjYnfw
41,0.7285,qFAuDnKa
42,0.9256,BLMIsdIr
43,0.3139,SLpqvupg
44,0.4204,WJUGpCao
45,0.4299,EIywlyUP
46,0.1697,eAGrQNIl
47,0.1991,bmySdvGk
48,0.6964,zmIaNOfw
49,0.1759,XAcmSxPI
50,0.9879,EXUFLARC
51,0.8972,MynmHNBG
52,0.2746,eooqChmK
53,0.7064,dvCvkvVE
54,0.6955,SNtasNSX
55,0.419,MCFllwbr
56,0.6791,viygGbuD
57,0.0271,HhyctlqN
58,0.3791,NRnebCZs
59,0.6501,OHNXkbhg
60,0.6695,DlKNiFMf
61,0.8193,YfbqJXuL
62,0.076,JGfOSFgZ
63,0.7826,swtArSQf
64,0.9608,HRKwMYoQ
65,0.5382,zwMnSReT
66,0.2439,yFtbSjlP
67,0.3403,TKoaXeLz
68,0.7582,JHzPelJp
69,0.5816,yBwMrKon
70,0.1207,kgBNjlzL
71,0.9766,BofkljaB
72,0.2743,YCKgTzTD
73,0.4694,wjcWyQud
74,0.6294,chDpZgNF
75,0.7907,lBxxSZpG
76,0.6096,MXkkIijd
77,0.0027,xEpmKKxJ
78,0.9239,OGIWwCHV
79,0.8266,dipMDpgJ
80,0.6997,XAzecwqn
81,0.0913,YRDXZIoc
82,0.7563,yHVjEHze
83,0.348,rISrKoXQ
84,0.5501,xqqYvAZI
85,0.5426,vjsNGNkC
86,0.9277,wKgYFmiC
87,0.5523,eZVxgRzL
88,0.5089,oRYmCtVA
89,0.8793,SoPvWAQo
90,0.2986,EZzhCrCC
91,0.4553,qjKDmOcM
92,0.7052,QuIQZzbA
93,0.5902,TTwBxLvI
94,0.1544,yYrKHSSS
95,0.38,qLNTbdGV
96,0.9974,MwfGTxKU
97,0.046,PpthBDPi
98,0.079,TGmVhxnn
99,0.0094,PUJiwrEH
100,0.4243,nRkuzmDD
101,0.9927,pYIoDJMc
102,0.6064,zVoPFsHG
103,0.6778,LIRGUHqw
104,0.5796,MepMjgCY
105,0.5309,VRnQzPMr
106,0.1152,YhYSLYYP
107,0.3658,PaBxIIEQ
108,0.9403,fmbTDVld
109,0.8239,VpvhXpzf
110,0.8873,hxIMXvMi
111,0.4149,fzvXbtxX
112,0.8555,fJCYsujg
113,0.848,xIHFbOmg
114,0.5646,dNklTrhU
115,0.0028,ShgnjIba
116,0.79,mqjcMBMy
117,0.778,AfAXcOTB
118,0.458,YdyuJzVd
119,0.0808,FdoGCqZB
120,0.4537,FfKSHNLl
121,0.4516,lrxvewIt
122,0.1526,VdRefMQC
123,0.5865,DrgsINTL
124,0.9684,FsElIlfR
